loan_id,age,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default,"('Aadhar',)","('Driving',)","('PAN',)","('Passport',)","('VoterID',)"
182,50,461688,809964,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6735,30,770184,1057608,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6299,45,425268,802104,2,0,0,0,1.0,0.0,0.0,0.0,0.0
2319,33,609936,721536,3,2,0,0,1.0,0.0,0.0,0.0,0.0
979,34,762588,905304,2,0,0,0,1.0,0.0,0.0,0.0,0.0
3227,23,719364,863316,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3207,42,830028,984780,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1296,38,630636,815784,4,4,0,0,1.0,0.0,0.0,0.0,0.0
3253,45,604044,904572,5,5,0,0,1.0,0.0,0.0,0.0,0.0
6091,30,863004,1023576,5,5,0,0,1.0,0.0,0.0,0.0,0.0
6860,45,633336,729708,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4372,38,562188,758280,3,2,0,0,1.0,0.0,0.0,0.0,0.0
1985,36,693600,888000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3485,32,639636,879276,0,0,0,0,1.0,0.0,0.0,0.0,0.0
312,30,690156,903108,4,0,0,0,1.0,0.0,0.0,0.0,0.0
368,45,620676,892032,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5058,26,620436,783000,3,2,0,0,1.0,0.0,0.0,0.0,0.0
4042,45,758376,911304,5,3,0,0,1.0,0.0,0.0,0.0,0.0
3675,43,520920,780948,0,0,0,0,1.0,0.0,0.0,0.0,0.0
271,38,603636,941892,2,2,0,0,1.0,0.0,0.0,0.0,0.0
6983,48,633636,799920,2,0,0,0,1.0,0.0,0.0,0.0,0.0
1384,28,389808,920520,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5433,40,585636,762000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6709,30,559740,720000,2,0,0,0,1.0,0.0,0.0,0.0,0.0
6340,39,463848,1046532,5,3,0,0,1.0,0.0,0.0,0.0,0.0
928,41,639636,861240,3,2,0,0,1.0,0.0,0.0,0.0,0.0
2633,42,575196,793500,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3940,32,708156,907680,0,0,0,0,1.0,0.0,0.0,0.0,0.0
912,45,618636,808368,2,2,0,0,1.0,0.0,0.0,0.0,0.0
6576,44,709236,901584,2,2,0,0,1.0,0.0,0.0,0.0,0.0
4153,29,705108,852672,3,3,0,0,1.0,0.0,0.0,0.0,0.0
285,38,639636,866472,0,0,0,0,1.0,0.0,0.0,0.0,0.0
359,25,484728,754632,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5944,26,556188,726396,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3644,22,639636,826620,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6369,49,520728,828948,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6605,34,603636,851892,4,2,0,0,1.0,0.0,0.0,0.0,0.0
2249,34,591576,798732,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6124,27,675108,818724,2,2,0,0,1.0,0.0,0.0,0.0,0.0
4290,43,655908,840000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5253,45,498288,762264,2,2,0,0,1.0,0.0,0.0,0.0,0.0
3972,31,630096,819036,0,0,0,0,1.0,0.0,0.0,0.0,0.0
51,31,544188,674592,2,2,0,0,1.0,0.0,0.0,0.0,0.0
14,36,523464,779244,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4612,30,782028,894432,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3606,43,746868,978708,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5897,45,449316,643392,4,2,0,0,1.0,0.0,0.0,0.0,0.0
801,34,636936,864924,3,0,0,0,1.0,0.0,0.0,0.0,0.0
716,44,544188,831756,0,0,0,0,1.0,0.0,0.0,0.0,0.0
443,38,514728,854856,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4208,38,575868,789756,2,2,0,0,1.0,0.0,0.0,0.0,0.0
1725,28,608436,736812,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5642,49,648756,840000,2,2,0,0,1.0,0.0,0.0,0.0,0.0
4982,49,699108,820980,0,0,0,0,1.0,0.0,0.0,0.0,0.0
253,30,550740,878724,0,0,0,0,1.0,0.0,0.0,0.0,0.0
349,43,461268,744600,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2465,39,624936,776376,0,0,0,0,1.0,0.0,0.0,0.0,0.0
742,49,524328,731700,3,2,0,0,1.0,0.0,0.0,0.0,0.0
2604,38,588000,716508,2,2,0,0,1.0,0.0,0.0,0.0,0.0
6813,37,532188,809496,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1723,41,672156,833076,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3440,42,612036,957192,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3264,29,529428,724116,5,4,0,0,1.0,0.0,0.0,0.0,0.0
1941,43,637236,804000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4559,49,639636,955284,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2373,47,597336,821640,6,2,0,0,1.0,0.0,0.0,0.0,0.0
1501,31,639636,838464,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2913,35,708636,891312,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1135,48,461700,741444,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6459,25,774984,992400,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5986,27,704316,827988,3,3,0,0,1.0,0.0,0.0,0.0,0.0
1250,24,622836,1039284,4,3,0,0,1.0,0.0,0.0,0.0,0.0
676,32,666156,804744,4,2,0,0,1.0,0.0,0.0,0.0,0.0
6217,27,612636,814164,2,2,0,0,1.0,0.0,0.0,0.0,0.0
6337,23,620436,783000,3,3,0,0,1.0,0.0,0.0,0.0,0.0
3508,36,630936,744000,3,0,0,0,1.0,0.0,0.0,0.0,0.0
1948,40,455268,843360,6,0,0,0,1.0,0.0,0.0,0.0,0.0
4361,29,802584,967536,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2248,29,766584,882000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2205,38,502728,713700,4,4,0,0,1.0,0.0,0.0,0.0,0.0
6182,46,654276,789036,7,3,0,0,1.0,0.0,0.0,0.0,0.0
3488,31,512916,791616,0,0,0,0,1.0,0.0,0.0,0.0,0.0
992,27,715356,830496,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5203,38,656556,756000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6273,42,624396,835860,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1645,38,657108,834828,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4650,47,551388,787512,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1118,46,770556,1002504,3,3,0,0,1.0,0.0,0.0,0.0,0.0
6402,41,749364,866508,2,0,0,0,1.0,0.0,0.0,0.0,0.0
3662,34,684156,1045332,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5767,49,632436,817920,6,0,0,0,1.0,0.0,0.0,0.0,0.0
5139,43,790584,905160,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1735,26,710556,818628,2,0,0,0,1.0,0.0,0.0,0.0,0.0
6250,49,766428,876948,2,2,0,0,1.0,0.0,0.0,0.0,0.0
3327,29,526728,607200,4,3,0,0,1.0,0.0,0.0,0.0,0.0
3540,25,592236,750600,3,2,0,0,1.0,0.0,0.0,0.0,0.0
5627,41,551988,897600,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1224,25,715764,835416,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1180,48,791028,954468,3,0,0,0,1.0,0.0,0.0,0.0,0.0
4892,27,638136,730800,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4606,47,755364,959532,0,0,0,0,1.0,0.0,0.0,0.0,0.0
24,44,615636,818520,2,0,0,0,1.0,0.0,0.0,0.0,0.0
1111,25,722556,950400,0,0,0,0,1.0,0.0,0.0,0.0,0.0
7000,31,705108,900660,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3477,29,581316,816000,5,3,0,0,1.0,0.0,0.0,0.0,0.0
2400,26,889812,1069200,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3016,28,627636,759516,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6679,37,504528,628944,4,3,0,0,1.0,0.0,0.0,0.0,0.0
6218,36,726156,881760,4,3,0,0,1.0,0.0,0.0,0.0,0.0
3918,45,648936,826800,7,4,0,0,1.0,0.0,0.0,0.0,0.0
2840,48,794028,900000,5,2,0,0,1.0,0.0,0.0,0.0,0.0
2275,40,709908,917040,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6168,41,682956,846972,4,4,0,0,1.0,0.0,0.0,0.0,0.0
6789,45,754164,948000,2,0,0,0,1.0,0.0,0.0,0.0,0.0
5833,48,776736,906000,2,2,0,0,1.0,0.0,0.0,0.0,0.0
537,41,714840,877800,4,3,0,0,1.0,0.0,0.0,0.0,0.0
1066,32,678108,854616,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6042,50,506712,814944,4,4,0,0,1.0,0.0,0.0,0.0,0.0
518,37,622836,793200,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5328,32,743364,974256,0,0,0,0,1.0,0.0,0.0,0.0,0.0
395,31,515628,829764,2,2,0,0,1.0,0.0,0.0,0.0,0.0
6140,42,613236,877584,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3366,36,538908,858840,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5692,24,664956,755280,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2025,35,548220,768732,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3362,34,684156,929460,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2468,45,663108,986832,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4141,38,708156,918000,2,2,0,0,1.0,0.0,0.0,0.0,0.0
6358,46,591636,898200,5,5,0,0,1.0,0.0,0.0,0.0,0.0
219,25,675108,770376,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4084,49,708864,873876,4,3,0,0,1.0,0.0,0.0,0.0,0.0
3592,28,599916,858048,3,2,0,0,1.0,0.0,0.0,0.0,0.0
5640,42,591636,751824,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5545,32,443940,634992,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1486,36,619836,875556,2,2,0,0,1.0,0.0,0.0,0.0,0.0
1362,32,451668,935208,2,0,0,0,1.0,0.0,0.0,0.0,0.0
1826,34,657708,837684,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1177,30,581988,881676,2,0,0,0,1.0,0.0,0.0,0.0,0.0
4232,45,654048,856668,2,2,0,0,1.0,0.0,0.0,0.0,0.0
4647,34,588036,786000,2,0,0,0,1.0,0.0,0.0,0.0,0.0
1238,27,696156,838896,2,0,0,0,1.0,0.0,0.0,0.0,0.0
1595,30,733200,832836,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6054,45,729156,870732,5,2,0,0,1.0,0.0,0.0,0.0,0.0
2238,25,637236,735072,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5095,26,525852,696900,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2356,39,588696,799608,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6417,28,434148,845592,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4370,37,813228,926136,2,2,0,0,1.0,0.0,0.0,0.0,0.0
222,35,596436,751524,2,0,0,0,1.0,0.0,0.0,0.0,0.0
2293,38,665868,830808,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2925,38,725364,933132,3,3,0,0,1.0,0.0,0.0,0.0,0.0
5723,49,385008,657240,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5591,50,663108,781572,5,2,0,0,1.0,0.0,0.0,0.0,0.0
2908,43,639636,796320,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5059,30,562188,758928,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3804,30,693108,873408,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4500,42,399408,747024,2,0,0,0,1.0,0.0,0.0,0.0,0.0
3055,40,708996,894072,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6379,31,699108,911040,3,3,0,0,1.0,0.0,0.0,0.0,0.0
2583,45,608436,812040,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2734,46,625992,749472,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4569,27,731364,862620,3,3,0,0,1.0,0.0,0.0,0.0,0.0
2390,34,794904,912000,5,3,0,0,1.0,0.0,0.0,0.0,0.0
4980,37,728556,829800,3,2,0,0,1.0,0.0,0.0,0.0,0.0
5753,35,675108,804000,2,2,0,0,1.0,0.0,0.0,0.0,0.0
4123,48,684180,822108,6,2,0,0,1.0,0.0,0.0,0.0,0.0
5133,28,691908,820440,2,2,0,0,1.0,0.0,0.0,0.0,0.0
3374,25,633636,855120,2,2,0,0,1.0,0.0,0.0,0.0,0.0
833,26,562188,828948,0,0,0,0,1.0,0.0,0.0,0.0,0.0
946,36,667908,861144,3,0,0,0,1.0,0.0,0.0,0.0,0.0
4870,26,639636,811428,2,0,0,0,1.0,0.0,0.0,0.0,0.0
1287,25,650628,856356,5,5,0,0,1.0,0.0,0.0,0.0,0.0
5645,36,615048,830700,3,3,0,0,1.0,0.0,0.0,0.0,0.0
6311,46,620436,709812,7,4,0,0,1.0,0.0,0.0,0.0,0.0
2473,46,585636,733728,7,5,0,0,1.0,0.0,0.0,0.0,0.0
69,44,624936,814800,2,2,0,0,1.0,0.0,0.0,0.0,0.0
1977,47,458868,786996,0,0,0,0,1.0,0.0,0.0,0.0,0.0
66,37,615636,882216,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2156,36,784584,898620,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3797,47,643236,856200,0,0,0,0,1.0,0.0,0.0,0.0,0.0
906,38,696156,894000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4734,40,645108,786000,3,0,0,0,1.0,0.0,0.0,0.0,0.0
2019,44,687108,991428,2,2,0,0,1.0,0.0,0.0,0.0,0.0
6348,27,621636,823560,3,3,0,0,1.0,0.0,0.0,0.0,0.0
6221,47,787608,903960,4,2,0,0,1.0,0.0,0.0,0.0,0.0
1386,34,739164,887532,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1495,48,684156,888132,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5570,27,684156,909180,0,0,0,0,1.0,0.0,0.0,0.0,0.0
528,35,379932,841488,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4185,41,800028,917532,2,2,0,0,1.0,0.0,0.0,0.0,0.0
754,28,472740,779868,2,2,0,0,1.0,0.0,0.0,0.0,0.0
3468,34,634536,884784,2,2,0,0,1.0,0.0,0.0,0.0,0.0
3548,27,658356,993456,6,5,0,0,1.0,0.0,0.0,0.0,0.0
5904,44,730956,843120,6,5,0,0,1.0,0.0,0.0,0.0,0.0
3019,49,633336,816276,6,3,0,0,1.0,0.0,0.0,0.0,0.0
1719,23,797784,943596,0,0,0,0,1.0,0.0,0.0,0.0,0.0
502,38,642036,768900,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2911,27,616596,816000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5492,49,612936,812196,2,0,0,0,1.0,0.0,0.0,0.0,0.0
6148,28,663108,1050732,2,2,0,0,1.0,0.0,0.0,0.0,0.0
5143,25,586836,746268,2,2,0,0,1.0,0.0,0.0,0.0,0.0
1321,49,435228,702000,7,0,0,0,1.0,0.0,0.0,0.0,0.0
809,34,759384,1062000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3345,31,694308,828684,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4542,31,719364,916524,2,2,0,0,1.0,0.0,0.0,0.0,0.0
3263,35,514728,834000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6440,39,865476,1005600,4,4,0,0,1.0,0.0,0.0,0.0,0.0
2101,44,453468,932736,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4444,27,606936,842940,3,3,0,0,1.0,0.0,0.0,0.0,0.0
1455,50,608916,857916,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1902,35,657108,866580,4,2,0,0,1.0,0.0,0.0,0.0,0.0
3355,38,712164,867600,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4271,31,651636,826596,2,0,0,0,1.0,0.0,0.0,0.0,0.0
5755,48,724164,857760,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4283,31,718380,912984,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4298,36,575820,675624,3,2,0,0,1.0,0.0,0.0,0.0,0.0
6432,47,672156,771960,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4353,37,556188,783840,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4249,31,672156,997776,0,0,0,0,1.0,0.0,0.0,0.0,0.0
38,34,698148,884304,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6294,35,527148,1001748,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2272,43,808584,985632,5,3,0,0,1.0,0.0,0.0,0.0,0.0
2389,32,524700,866616,2,2,0,0,1.0,0.0,0.0,0.0,0.0
6570,27,672156,900000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
295,40,636744,864708,0,0,0,0,1.0,0.0,0.0,0.0,0.0
646,30,516120,637044,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6175,29,636936,968184,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6166,37,830028,996000,6,5,0,0,1.0,0.0,0.0,0.0,0.0
5544,35,554988,748680,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2362,49,507528,607800,0,0,0,0,1.0,0.0,0.0,0.0,0.0
365,47,788028,1083540,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5110,30,541188,758760,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5265,43,632436,817824,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6407,25,652308,837168,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6815,39,550188,800376,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2321,30,574188,742608,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3070,46,722556,823500,2,0,0,0,1.0,0.0,0.0,0.0,0.0
2222,27,713364,828192,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5333,41,608436,774180,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2010,45,656268,886440,4,4,0,0,1.0,0.0,0.0,0.0,0.0
6643,38,518700,840240,5,5,0,0,1.0,0.0,0.0,0.0,0.0
168,31,496728,844800,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6594,29,669420,902916,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1649,26,786828,999288,2,2,0,0,1.0,0.0,0.0,0.0,0.0
2726,46,653508,821856,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2196,35,514728,885024,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4035,38,663108,832020,6,0,0,0,1.0,0.0,0.0,0.0,0.0
6345,31,491928,875148,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3808,32,687108,876432,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2508,44,694956,902412,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5867,41,648156,883224,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2653,45,849804,966000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1197,33,663108,1010532,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1057,26,665424,895896,2,2,0,0,1.0,0.0,0.0,0.0,0.0
163,31,528588,791160,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6573,37,630936,767784,2,2,0,0,1.0,0.0,0.0,0.0,0.0
397,49,794028,1032000,4,3,0,0,1.0,0.0,0.0,0.0,0.0
6443,29,772584,888000,4,2,0,0,1.0,0.0,0.0,0.0,0.0
3697,47,565740,807276,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3022,37,731196,1087800,2,2,0,0,1.0,0.0,0.0,0.0,0.0
5316,29,642636,830184,2,0,0,0,1.0,0.0,0.0,0.0,0.0
1647,48,697056,834000,3,3,0,0,1.0,0.0,0.0,0.0,0.0
5782,28,626136,715200,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1787,29,612936,767364,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5615,45,831804,940440,0,0,0,0,1.0,0.0,0.0,0.0,0.0
752,33,672156,833796,0,0,0,0,1.0,0.0,0.0,0.0,0.0
685,31,651636,840876,4,2,0,0,1.0,0.0,0.0,0.0,0.0
759,43,590436,798696,5,3,0,0,1.0,0.0,0.0,0.0,0.0
5293,38,571740,826188,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3291,21,699756,828000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1310,30,597156,921912,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1774,26,776028,1035600,2,0,0,0,1.0,0.0,0.0,0.0,0.0
5042,24,487128,657348,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4376,44,527628,768036,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3958,36,696156,917400,4,4,0,0,1.0,0.0,0.0,0.0,0.0
5511,48,784584,893400,0,0,0,0,1.0,0.0,0.0,0.0,0.0
981,25,642936,885600,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5865,28,472692,1008000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
83,31,651108,790776,4,4,0,0,1.0,0.0,0.0,0.0,0.0
5115,39,608436,781320,5,3,0,0,1.0,0.0,0.0,0.0,0.0
4009,36,800028,1027716,2,2,0,0,1.0,0.0,0.0,0.0,0.0
3533,30,601236,864720,3,3,0,0,1.0,0.0,0.0,0.0,0.0
4148,36,739764,869340,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5454,49,663108,845892,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4241,35,678108,869676,4,0,0,0,1.0,0.0,0.0,0.0,0.0
6931,42,673908,770208,3,2,0,0,1.0,0.0,0.0,0.0,0.0
4682,35,576696,812376,0,0,0,0,1.0,0.0,0.0,0.0,0.0
658,44,609636,801600,0,0,0,0,1.0,0.0,0.0,0.0,0.0
714,29,508728,706824,3,3,0,0,1.0,0.0,0.0,0.0,0.0
4168,31,634836,1008444,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2325,44,586140,792000,3,2,0,0,1.0,0.0,0.0,0.0,0.0
42,38,560988,707244,3,2,0,0,1.0,0.0,0.0,0.0,0.0
362,27,507768,831768,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3691,34,651636,735600,5,0,0,0,1.0,0.0,0.0,0.0,0.0
891,28,709908,841572,7,2,0,0,1.0,0.0,0.0,0.0,0.0
6511,47,604836,830136,3,2,0,0,1.0,0.0,0.0,0.0,0.0
1312,48,571188,814800,5,3,0,0,1.0,0.0,0.0,0.0,0.0
4513,38,573588,768000,2,0,0,0,1.0,0.0,0.0,0.0,0.0
3998,34,616836,773916,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1323,37,731364,880380,0,0,0,0,1.0,0.0,0.0,0.0,0.0
523,25,592188,903540,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1820,34,739392,957600,7,2,0,0,1.0,0.0,0.0,0.0,0.0
6517,26,511128,718488,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1947,38,616836,765840,2,0,0,0,1.0,0.0,0.0,0.0,0.0
865,43,544188,835968,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6714,30,691332,984000,5,3,0,0,1.0,0.0,0.0,0.0,0.0
6657,28,547740,881400,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4677,34,588936,783000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
68,29,514728,813168,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3526,40,580188,694068,2,0,0,0,1.0,0.0,0.0,0.0,0.0
579,28,526188,835452,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2111,42,743364,1032864,3,2,0,0,1.0,0.0,0.0,0.0,0.0
5428,36,604356,744972,5,4,0,0,1.0,0.0,0.0,0.0,0.0
2782,31,568188,899616,0,0,0,0,1.0,0.0,0.0,0.0,0.0
875,33,681108,943212,0,0,0,0,1.0,0.0,0.0,0.0,0.0
